21:53 pull FAILED (instance may be preempted)
21:54 pulled ok (      15 log lines)
22:04 pulled ok (      34 log lines)
22:15 pulled ok (      39 log lines)
22:25 pulled ok (      62 log lines)
22:35 pulled ok (      73 log lines)
22:45 pulled ok (      78 log lines)
22:55 pulled ok (      79 log lines)
23:05 pulled ok (      79 log lines)
23:16 pulled ok (      84 log lines)
23:26 pulled ok (      96 log lines)
23:36 pulled ok (     103 log lines)
23:46 pulled ok (     106 log lines)
06:43 pulled ok (     106 log lines)
06:53 pulled ok (     106 log lines)
07:03 pulled ok (     106 log lines)
07:14 pulled ok (     106 log lines)
07:24 pulled ok (     106 log lines)
07:34 pulled ok (     106 log lines)
07:44 pulled ok (     106 log lines)
07:54 pulled ok (     106 log lines)
08:04 pulled ok (     106 log lines)
08:15 pulled ok (     106 log lines)
08:25 pulled ok (     106 log lines)
08:35 pulled ok (     106 log lines)
08:45 pulled ok (     106 log lines)
08:55 pulled ok (     106 log lines)
09:06 pulled ok (     106 log lines)
09:16 pulled ok (     106 log lines)
09:26 pulled ok (     106 log lines)
09:36 pulled ok (     106 log lines)
09:46 pulled ok (     106 log lines)
09:57 pulled ok (     106 log lines)
10:07 pulled ok (     106 log lines)
10:17 pulled ok (     106 log lines)
10:27 pulled ok (     106 log lines)
12:12 pulled ok (     106 log lines)
12:22 pulled ok (     106 log lines)
12:32 pulled ok (     106 log lines)
12:42 pulled ok (     106 log lines)
12:52 pulled ok (     106 log lines)
13:03 pulled ok (     106 log lines)
13:13 pulled ok (     106 log lines)
13:23 pulled ok (     106 log lines)
